Isolate,Country,Year of Isolation,Pathotype,MLST ,Clone Cluster,Cluster (RAMI),LEE Insertion Site,LEE subtype,Accession
201350,Mali,2008,aEPEC,337,cluster_15,cluster_15,CQ,CQ,ERS139266
201381,Mali,2009,aEPEC,378,CG378,cluster_20,pheU,1,ERS085384
201488,Mali,2008,aEPEC,301,CG301,cluster_1,pheU,2,ERS085415
201534,Mali,2009,aEPEC,4550,cluster_19,cluster_19,pheV,7,ERS085343
201589,Mali,2009,aEPEC,301,CG301,cluster_1,pheU,2,ERS085416
202317,Mali,2009,aEPEC,10*,CG10,cluster_14,pheV,12,ERS085417
202374,Mali,2009,aEPEC,517,CG517,cluster_5,selC,16,ERS139202
202387,Mali,2009,aEPEC,378,CG378,cluster_20,pheU,1,ERS139199
202423,Mali,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS085344
202443,Mali,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS085345
202453,Mali,2009,aEPEC,517,CG517,cluster_5,selC,22,ERS085346
202474,Mali,2009,aEPEC,517,CG517,cluster_5,selC,16,ERS139203
202521,Mali,2009,aEPEC,4554,cluster_12,cluster_12,selC,29,ERS085436
202621,Mali,2009,aEPEC,29,CG29,cluster_7,CQ,CQ,ERS085418
202833,Mali,2009,aEPEC,34,cluster_8,cluster_8,selC,9,ERS085347
202973,Mali,2009,aEPEC,10,CG10,cluster_14,pheV,12,ERS085348
203470,Mali,2010,aEPEC,2089,cluster_16,cluster_16,selC,9,ERS085437
204263,Mali,2010,aEPEC,328,CG328,cluster_3,pheU,8,ERS085438
204302,Mali,2010,aEPEC,34,cluster_8,cluster_8,selC,9,ERS085349
300073,Mozambique,2008,aEPEC,328,CG328,cluster_3,pheU,8,ERS139243
300086,Mozambique,2008,aEPEC,29,CG29,cluster_7,pheV,11,ERS085350
300711,Mozambique,2008,aEPEC,517,CG517,cluster_5,selC,22,ERS085351
300795,Mozambique,2009,aEPEC,337,cluster_15,cluster_15,CQ,CQ,ERS085352
300812,Mozambique,2008,aEPEC,10*,CG10,cluster_14,pheV,12,ERS085419
300814,Mozambique,2008,aEPEC,10*,CG10,cluster_14,CQ,CQ,ERS085420
302082,Mozambique,2009,aEPEC,328,CG328,cluster_3,pheV,8,ERS139248
302302,Mozambique,2009,aEPEC,40,CG40,cluster_27,pheV,8,ERS139204
302544,Mozambique,2009,aEPEC,4550,cluster_19,cluster_19,pheV,7,ERS139276
302551,Mozambique,2009,aEPEC,382,cluster_2,cluster_2,selC,15,ERS139275
302613,Mozambique,2009,aEPEC,382,cluster_2,cluster_2,selC,15,ERS139260
302619,Mozambique,2009,aEPEC,4550*,cluster_19,cluster_19,pheV,7,ERS139261
302700,Mozambique,2009,aEPEC,10*,CG10,cluster_14,pheV,12,ERS139267
302701,Mozambique,2009,aEPEC,40,CG40,cluster_27,pheV,8,ERS139262
302710,Mozambique,2009,aEPEC,442,cluster_28,cluster_28,CQ,CQ,ERS139268
303212,Mozambique,2010,aEPEC,121,CG121,cluster_26,selC,30,ERS150986
400549,Kenya,2008,aEPEC,328,CG328,cluster_3,pheV,8,ERS085385
