Isolate,Country,Year of Isolation,Pathotype,MLST ,Clone Cluster,Cluster (RAMI),LEE Insertion Site,LEE subtype,Accession
DEC9E,Mexico,1986,aEPEC ref,29,CG29,cluster_7,NS,8,AIGO00000000
DH1,NS,NS,NS,1060,cluster_18,cluster_18,NoLEE,NoLEE,NC_017625
DH10B,NS,NS,NS,1060,cluster_18,cluster_18,NoLEE,NoLEE,NC_010473
E110019,Finland,1990,aEPEC ref,20,CG3,cluster_4,NS,8,AAJW00000000
E128010,Bangladesh,NS,tEPEC,3,CG3,cluster_4,CQ,CQ,ADUO00000000
E22,NS,NS,aEPEC ref,20,CG3,cluster_4,pheV,8,AAJV00000000
E2348/69,UK,1969,tEPEC,*4729,cluster_45,cluster_45,selC,27,NC_011601
E24377A,USA,NS,NS,1132,cluster_76,cluster_76,NoLEE,NoLEE,NC_009801
EC4115,USA,2006,O157EHEC,11,CG11,cluster_11,selC,10,NC_011353
ED1a,France,mid 2000s,NS,*4728,cluster_50,cluster_50,NoLEE,NoLEE,NC_011745
EDL933,USA,1982,O157EHEC,*11,CG11,cluster_11,selC,10,NC_002655
EHEC14,Brazil ,NS,nO157EHEC,21,CG29,cluster_7,pheU,CQ,ADUN00000000
EL-2071,NS,NS,NS,678,cluster_29,cluster_29,NoLEE,NoLEE,CP003301
F11,USA,1980s,NS,*4735,cluster_30,cluster_30,NoLEE,NoLEE,AAJU00000000
H10407,Bangladesh,1973,NS,48,cluster_59,cluster_59,NoLEE,NoLEE,NC_017633
HI8,NS,NS,tEPEC,20,CG3,cluster_4,NS,8,AFDY00000000
HS,NS,NS,NS,46,cluster_88,cluster_88,NoLEE,NoLEE,CP000802
IAI1,France,1983-1985,NS,1128,cluster_81,cluster_81,NoLEE,NoLEE,NC_011741
IAI39,France,1983-1985,NS,62,cluster_34,cluster_34,NoLEE,NoLEE,NC_011750
IHE3034,Finland,1976,NS,95,cluster_38,cluster_38,NoLEE,NoLEE,NC_017628
K12-MDS42,NS,NS,NS,10,cluster_18,cluster_18,NoLEE,NoLEE,AP012306
K12-W3110,NS,NS,NS,10,cluster_18,cluster_18,NoLEE,NoLEE,NC_007779
KO11FL,NS,NS,NS,1079,cluster_39,cluster_39,NoLEE,NoLEE,NC_016902
LF82,NS,NS,NS,135,cluster_41,cluster_41,NoLEE,NoLEE,NC_011993
MG1655,NS,NS,NS,10,cluster_18,cluster_18,NoLEE,NoLEE,NC_000913
NA114,India,2009,NS,131,cluster_86,cluster_86,NoLEE,NoLEE,NC_017644
NRG857C,Germany,mid 2000s,NS,135,cluster_41,cluster_41,NoLEE,NoLEE,NC_017634
O42,Peru,1983,NS,414,cluster_85,cluster_85,NoLEE,NoLEE,NC017626
OK1114,NS,NS,nO157EHEC,16,CG29,cluster_7,CQ,CQ,AICG00000000
OK1180,USA,NS,nO157EHEC,16,CG29,cluster_7,pheV,12,ADUQ00000000
p12b,NS,NS,NS,10,cluster_82,cluster_82,NoLEE,NoLEE,NC_017663
RM12579,USA,1974,aEPEC ref,335,CG335,cluster_21,selC,10,NC_017656
RN587/1,Brazil,NS,tEPEC,725,cluster_25,cluster_25,selC,CQ,ADUS00000000
S.boydii,NS,NS,NS,1130*,cluster_51,cluster_51,Shigella,Shigella,NC_007613
S.dysenteriae,NS,NS,NS,146*?,cluster_83,cluster_83,Shigella,Shigella,NC_007606
S.flexneri,NS,NS,NS,634*?,cluster_87,cluster_87,Shigella,Shigella,NC_008258
S.flexneri,NS,NS,NS,245*,cluster_75,cluster_75,Shigella,Shigella,NC_004337
S.flexneri,NS,NS,NS,245*,cluster_67,cluster_67,Shigella,Shigella,AE014073
S.sonnei,NS,NS,NS,152,cluster_32,cluster_32,Shigella,Shigella,NC_007384
S.sonnei,NS,NS,NS,152*?,cluster_32,cluster_32,Shigella,Shigella,NC_016822
S.sonnei,NS,NS,NS,1129*,cluster_62,cluster_62,Shigella,Shigella,NC_010658
S88,France,1999,NS,95,cluster_77,cluster_77,NoLEE,NoLEE,NC_011742
SAKAI,Japan,1997,O157EHEC,11,CG11,cluster_11,selC,10,NC_002695
SE11,NS,mid 2000s,NS,156,cluster_66,cluster_66,NoLEE,NoLEE,NC_011415
SE15,NS,mid 2000s,NS,131,cluster_69,cluster_69,NoLEE,NoLEE,NC_013654
SMS-3-5,USA,2005,NS,354,cluster_60,cluster_60,NoLEE,NoLEE,NC_010498
TW14359,USA,2006,O157EHEC,11,CG11,cluster_11,selC,10,NC_013008
TY-2482,Germany,2011,NS,678,cluster_29,cluster_29,NoLEE,NoLEE,AFOG01000000
UM146,Canada,2000s,NS,643,cluster_38,cluster_38,NoLEE,NoLEE,NC_017632
UMN026,USA,1999,NS,597,cluster_79,cluster_79,NoLEE,NoLEE,NC_011751
UMNF18,NS,2006,NS,10,CG10,cluster_14,NoLEE,NoLEE,CP002890
UMNK88,NS,2007,NS,100,cluster_48,cluster_48,NoLEE,NoLEE,NC_017641
UT189,USA,mid 2000s,NS,95,cluster_38,cluster_38,NoLEE,NoLEE,NC007946
W,NS,1943,NS,1079,cluster_39,cluster_39,NoLEE,NoLEE,NC_017635
Xuzhou21,NS,1999,O157EHEC,11,CG11,cluster_11,selC,10,NC_017906
