"Sample name","Sample accession","Lane name","Lane accession"
2796STDY5611177,ERS357004,11657_6#19,ERR434373
2796STDY5611191,ERS357018,11657_6#20,ERR434374
2796STDY5611196,ERS357023,11657_6#21,ERR434375
2796STDY5611312,ERS357128,11657_6#22,ERR434376
2796STDY5611319,ERS357135,11657_6#23,ERR434377
2796STDY5611320,ERS357136,11657_6#24,ERR434378
2796STDY5611349,ERS357165,11657_6#26,ERR434380
2796STDY5611353,ERS357169,11657_6#27,ERR434381
2796STDY5611359,ERS357175,11657_6#28,ERR434382
2796STDY5611361,ERS357177,11657_6#29,ERR434383
2796STDY5611369,ERS357185,11657_6#30,ERR434384
2796STDY5611442,ERS357252,11657_6#31,ERR434385
2796STDY5611458,ERS357268,11657_6#32,ERR434386
2796STDY5611486,ERS357295,11657_6#33,ERR434387
2796STDY5611489,ERS357298,11657_6#34,ERR434388
2796STDY5611492,ERS357301,11657_6#35,ERR434389
2796STDY5611521,ERS357330,11657_6#36,ERR434390
2796STDY5611552,ERS357361,11657_6#37,ERR434391
2796STDY5611561,ERS357370,11657_6#38,ERR434392
2796STDY5611566,ERS357375,11657_6#39,ERR434393
2796STDY5611582,ERS357385,11657_6#40,ERR434394
2796STDY5611613,ERS357416,11657_6#41,ERR434395
2796STDY5611644,ERS357447,11657_6#42,ERR434396
2796STDY5611658,ERS357460,11657_6#43,ERR434397
2796STDY5611724,ERS357525,11657_6#44,ERR434398
2796STDY5611756,ERS357557,11657_6#45,ERR434399
2796STDY5611806,ERS357606,11657_6#46,ERR434400
2796STDY5611809,ERS357609,11657_6#47,ERR434401
2796STDY5611853,ERS357653,11657_6#48,ERR434402
2796STDY5611865,ERS357665,11657_6#49,ERR434403
2796STDY5611877,ERS357674,11657_6#50,ERR434404
2796STDY5611882,ERS357679,11657_6#51,ERR434405
2796STDY5611886,ERS357683,11657_6#52,ERR434406
2796STDY5611903,ERS357700,11657_6#53,ERR434407
2796STDY5611909,ERS357706,11657_6#54,ERR434408
2796STDY5611910,ERS357707,11657_6#55,ERR434409
2796STDY5611934,ERS357731,11657_6#56,ERR434410
2796STDY5611951,ERS357748,11657_6#57,ERR434411
2796STDY5611960,ERS357757,11657_6#58,ERR434412
2796STDY5611967,ERS357763,11657_6#59,ERR434413
2796STDY5611988,ERS357781,11657_6#60,ERR434414
2796STDY5611998,ERS357791,11657_6#61,ERR434415
2796STDY5612001,ERS357794,11657_6#62,ERR434416
2796STDY5612012,ERS357805,11657_6#63,ERR434417
2796STDY5612014,ERS357807,11657_6#64,ERR434418
2796STDY5612030,ERS357822,11657_6#65,ERR434419
2796STDY5612049,ERS357839,11657_6#66,ERR434420
2796STDY5612065,ERS357849,11657_6#67,ERR434421
2796STDY5612071,ERS357855,11657_6#68,ERR434422
2796STDY5612106,ERS357890,11657_6#69,ERR434423
2796STDY5612145,ERS357929,11657_6#70,ERR434424
2796STDY5612168,ERS357951,11657_6#71,ERR434425
2796STDY5612180,ERS357963,11657_6#72,ERR434426
2796STDY5612191,ERS357974,11657_6#73,ERR434427
2796STDY5612197,ERS357980,11657_6#74,ERR434428
2796STDY5612204,ERS357987,11657_6#75,ERR434429
2796STDY5612217,ERS358000,11657_6#76,ERR434430
2796STDY5612219,ERS358002,11657_6#77,ERR434431
2796STDY5612242,ERS358025,11657_6#78,ERR434432
2796STDY5612243,ERS358026,11657_6#79,ERR434433
2796STDY5612257,ERS358039,11657_6#80,ERR434434
2796STDY5612275,ERS358057,11657_6#81,ERR434435
2796STDY5612279,ERS358061,11657_6#82,ERR434436
2796STDY5612283,ERS358065,11657_6#83,ERR434437
2796STDY5612287,ERS358069,11657_6#84,ERR434438
2796STDY5612321,ERS358103,11657_6#85,ERR434439
2796STDY5612327,ERS358109,11657_6#86,ERR434440
2796STDY5612341,ERS358123,11657_6#87,ERR434441
2796STDY5612351,ERS358132,11657_6#88,ERR434442
2796STDY5612361,ERS358142,11657_6#89,ERR434443
2796STDY5612373,ERS358154,11657_6#90,ERR434444
2796STDY5612386,ERS358167,11657_6#91,ERR434445
2796STDY5612426,ERS358207,11657_6#92,ERR434446
2796STDY5612429,ERS358210,11657_6#93,ERR434447
2796STDY5612439,ERS358220,11657_6#94,ERR434448
2796STDY5612457,ERS358237,11657_6#95,ERR434449
2796STDY5612473,ERS358253,11657_6#96,ERR434450
2796STDY5611095,ERS356924,11657_7#1,ERR434451
2796STDY5611118,ERS356946,11657_7#2,ERR434452
2796STDY5611120,ERS356948,11657_7#3,ERR434453
