identifier,reads,source
esc_sa1374aa_as,SRR7163943,enterobase
esc_ha3275aa_as,SRR3773392,enterobase
esc_sa3168aa_as,SRR7221192,enterobase
esc_pa2533aa_as,SRR6001332,enterobase
esc_la1450aa_as,SRR5185388,enterobase
esc_ca3918aa_as,ERR193667,enterobase
esc_ca3918aa_as,ERR698917,enterobase
esc_ca3918aa_as,ERR701174,enterobase
esc_ha3299aa_as,SRR3773897,enterobase
esc_fa7675aa_as,SRR2982225,enterobase
esc_ra1599aa_as,SRR6367763,enterobase
esc_ba0611aa_as,SRR1981391,enterobase
esc_ja3971aa_as,SRR4897523,enterobase
esc_pa5236aa_as,SRR6052066,enterobase
esc_sa5283aa_as,SRR7282614,enterobase
esc_ca6395aa_as,SRR770170,enterobase
esc_ca6395aa_as,SRR784678,enterobase
esc_ca6395aa_as,SRR958400,enterobase
esc_ca6395aa_as,SRR958401,enterobase
esc_ja4718aa_as,SRR4788075,enterobase
esc_ia1270aa_as,SRR4181541,enterobase
esc_ba9223aa_as,SRR770157,enterobase
esc_ba9223aa_as,SRR784508,enterobase
esc_ba9223aa_as,SRR958379,enterobase
esc_ba9223aa_as,SRR958380,enterobase
esc_ha0198aa_as,SRR3657573,enterobase
esc_pa5302aa_as,SRR6052161,enterobase
esc_ga8830aa_as,SRR3574268,enterobase
esc_ha8598aa_as,SRR3988132,enterobase
esc_ba7717aa_as,ERR161296,enterobase
esc_sa1977aa_as,SRR7184343,enterobase
esc_pa5271aa_as,SRR6052103,enterobase
esc_ga9192aa_as,SRR3578628,enterobase
esc_ja8218aa_as,SRR5018299,enterobase
esc_pa7873aa_as,SRR6079210,enterobase
esc_pa5304aa_as,SRR6052163,enterobase
esc_ja3808aa_as,SRR4897171,enterobase
esc_ca6235aa_as,SRR770139,enterobase
esc_ca6235aa_as,SRR784400,enterobase
esc_ca6235aa_as,SRR958323,enterobase
esc_ca6235aa_as,SRR958324,enterobase
esc_ca5246aa_as,SRR1981133,enterobase
esc_ja4410aa_as,SRR4786758,enterobase
esc_pa5571aa_as,SRR6053007,enterobase
esc_sa6807aa_as,SRR7367465,enterobase
esc_sa4433aa_as,SRR7256809,enterobase
esc_ma8835aa_as,SRR5470158,enterobase
esc_sa1960aa_as,SRR7184295,enterobase
esc_ba2385aa_as,SRR1981318,enterobase
esc_ja8016aa_as,SRR5005415,enterobase
esc_qa3477aa_as,SRR6216413,enterobase
esc_ga8925aa_as,SRR3581351,enterobase
esc_ia1468aa_as,SRR4184814,enterobase
esc_ja4555aa_as,SRR4787351,enterobase
esc_ja7723aa_as,SRR5017281,enterobase
esc_sa5824aa_as,SRR7286262,enterobase
esc_ra3599aa_as,SRR6490588,enterobase
esc_ca6288aa_as,ERR161258,enterobase
esc_sa6940aa_as,SRR7401658,enterobase
esc_ga9269aa_as,SRR3578810,enterobase
esc_ha6167aa_as,SRR3883019,enterobase
esc_ha2683aa_as,SRR3742267,enterobase
esc_ha3297aa_as,SRR3773877,enterobase
esc_ia2218aa_as,SRR4260604,enterobase
esc_pa5603aa_as,SRR6053039,enterobase
esc_ia1444aa_as,SRR4184697,enterobase
