identifier,reads,source
esc_pa7910aa_as,SRR6079346,enterobase
esc_ha9388aa_as,SRR4019248,enterobase
esc_ra0293aa_as,SRR6324149,enterobase
esc_sa5722aa_as,SRR7285478,enterobase
esc_ja7580aa_as,SRR5005354,enterobase
esc_ja7880aa_as,SRR5005530,enterobase
esc_ga9174aa_as,SRR3578608,enterobase
esc_ja4781aa_as,SRR4788211,enterobase
esc_ba9206aa_as,SRR633961,enterobase
esc_ba9206aa_as,SRR642267,enterobase
esc_ba9206aa_as,SRR647295,enterobase
esc_ba9206aa_as,SRR647303,enterobase
esc_ha2684aa_as,SRR3742268,enterobase
esc_ca3339aa_as,SRR633818,enterobase
esc_ca3339aa_as,SRR633935,enterobase
esc_ca3339aa_as,SRR647227,enterobase
esc_ca3339aa_as,SRR647321,enterobase
esc_ja4693aa_as,SRR4787882,enterobase
esc_sa4732aa_as,SRR7265922,enterobase
esc_ca0333aa_as,SRR1981299,enterobase
esc_ra3597aa_as,SRR6490586,enterobase
esc_pa9419aa_as,SRR6131198,enterobase
esc_pa5429aa_as,SRR6052801,enterobase
esc_sa4939aa_as,SRR7274853,enterobase
esc_pa5075aa_as,SRR6051896,enterobase
esc_ga5819aa_as,SRR3394787,enterobase
esc_ja4407aa_as,SRR4786722,enterobase
esc_ha2667aa_as,SRR3742243,enterobase
esc_ma8859aa_as,SRR5470232,enterobase
esc_sa5201aa_as,SRR7277894,enterobase
esc_sa6190aa_as,SRR7291649,enterobase
esc_ga9215aa_as,SRR3578654,enterobase
esc_sa5858aa_as,SRR7286483,enterobase
esc_ha7980aa_as,SRR3974661,enterobase
esc_pa2524aa_as,SRR6001323,enterobase
esc_ga9207aa_as,SRR3578643,enterobase
esc_ja5058aa_as,SRR5005555,enterobase
esc_ia1283aa_as,SRR4181569,enterobase
esc_sa4715aa_as,SRR7265844,enterobase
esc_ba7524aa_as,SRR786377,enterobase
esc_ba7524aa_as,SRR786378,enterobase
esc_ba7524aa_as,SRR958844,enterobase
esc_ba7524aa_as,SRR958845,enterobase
esc_ja3855aa_as,SRR4897264,enterobase
esc_pa5101aa_as,SRR6051925,enterobase
esc_ca3866aa_as,SRR1785694,enterobase
esc_ca3866aa_as,SRR1785863,enterobase
esc_ca3866aa_as,SRR1795887,enterobase
esc_ca3866aa_as,SRR1795904,enterobase
esc_ha0778aa_as,SRR3715606,enterobase
esc_ha3951aa_as,SRR2177980,enterobase
esc_aa8380aa_as,SRR1981539,enterobase
esc_ra1234aa_as,SRR6344636,enterobase
esc_sa5909aa_as,SRR7286598,enterobase
esc_ha8859aa_as,SRR3990958,enterobase
esc_ra7277aa_as,SRR6825015,enterobase
esc_sa6352aa_as,SRR7283811,enterobase
esc_sa4146aa_as,SRR7249679,enterobase
esc_ka4591aa_as,SRR5033739,enterobase
esc_ka3903aa_as,SRR5023681,enterobase
esc_ca6109aa_as,SRR638038,enterobase
esc_ca6109aa_as,SRR638594,enterobase
esc_ca6109aa_as,SRR646310,enterobase
esc_ca6109aa_as,SRR646341,enterobase
esc_sa1849aa_as,SRR7179950,enterobase
esc_ga9398aa_as,SRR3578976,enterobase
esc_ra3555aa_as,SRR6487132,enterobase
esc_ga9247aa_as,SRR3578788,enterobase
esc_sa5866aa_as,SRR7286173,enterobase
esc_ja3869aa_as,SRR4897286,enterobase
esc_sa6209aa_as,SRR7291921,enterobase
esc_sa5303aa_as,SRR7282650,enterobase
esc_sa1974aa_as,SRR7184333,enterobase
esc_sa4448aa_as,SRR7256966,enterobase
esc_ha8228aa_as,SRR3987570,enterobase
esc_pa2438aa_as,SRR5998788,enterobase
esc_ca1851aa_as,SRR2015143,enterobase
esc_sa4335aa_as,SRR7251416,enterobase
esc_ja3747aa_as,SRR4897045,enterobase
esc_ka2155aa_as,SRR5024503,enterobase
esc_sa2246aa_as,SRR7186935,enterobase
esc_ra1887aa_as,SRR6374786,enterobase
esc_sa3183aa_as,SRR7221210,enterobase
esc_ja4807aa_as,SRR4788257,enterobase
esc_ja5101aa_as,SRR5006232,enterobase
esc_ia1660aa_as,SRR4195719,enterobase
esc_ga5816aa_as,SRR3394783,enterobase
esc_sa3524aa_as,SRR7230206,enterobase
esc_ha8030aa_as,SRR3975537,enterobase
esc_ha0929aa_as,SRR3545404,enterobase
esc_ca4051aa_as,SRR786365,enterobase
esc_ca4051aa_as,SRR786366,enterobase
esc_ca4051aa_as,SRR958830,enterobase
esc_ca4051aa_as,SRR958831,enterobase
esc_ca0854aa_as,SRR2015682,enterobase
esc_aa8510aa_as,SRR1981527,enterobase
esc_sa2342aa_as,SRR7187886,enterobase
esc_ca1348aa_as,SRR1981143,enterobase
esc_ca4823aa_as,SRR630963,enterobase
esc_ca4823aa_as,SRR633938,enterobase
esc_ca4823aa_as,SRR647262,enterobase
esc_ca4823aa_as,SRR647297,enterobase
esc_ba6763aa_as,SRR1981698,enterobase
esc_sa2260aa_as,SRR7186954,enterobase
esc_ga8821aa_as,SRR3574259,enterobase
esc_ha8870aa_as,SRR3990969,enterobase
esc_ja4684aa_as,SRR4787864,enterobase
esc_ca0378aa_as,ERR191667,enterobase
esc_ga9154aa_as,SRR3578587,enterobase
esc_ja4395aa_as,SRR4786541,enterobase
esc_la1546aa_as,SRR5187829,enterobase
esc_ja4811aa_as,SRR4788267,enterobase
esc_ja4638aa_as,SRR4787774,enterobase
esc_pa5081aa_as,SRR6051902,enterobase
esc_fa8178aa_as,SRR3000444,enterobase
esc_pa5097aa_as,SRR6051921,enterobase
esc_ka5260aa_as,SRR5024181,enterobase
esc_ia1285aa_as,SRR4181571,enterobase
esc_ra2562aa_as,SRR6425171,enterobase
esc_ja4416aa_as,SRR4786846,enterobase
esc_ba7706aa_as,ERR161297,enterobase
esc_ga8959aa_as,SRR3581389,enterobase
esc_sa2947aa_as,SRR7215973,enterobase
esc_sa7790aa_as,SRR7456550,enterobase
esc_qa2124aa_as,SRR6178019,enterobase
esc_ha0312aa_as,SRR3695795,enterobase
esc_ja7876aa_as,SRR5005504,enterobase
esc_sa1337aa_as,SRR7163888,enterobase
esc_sa3764aa_as,SRR7236570,enterobase
esc_sa9085aa_as,SRR7474058,enterobase
esc_ja4383aa_as,SRR4786377,enterobase
esc_pa5267aa_as,SRR6052099,enterobase
esc_ja4843aa_as,SRR4788329,enterobase
esc_pa5050aa_as,SRR6051868,enterobase
esc_sa5877aa_as,SRR7286541,enterobase
esc_pa5063aa_as,SRR6051882,enterobase
esc_ca1134aa_as,SRR785050,enterobase
esc_ca1134aa_as,SRR785052,enterobase
esc_ca1134aa_as,SRR800508,enterobase
esc_ca1134aa_as,SRR800510,enterobase
esc_ia2227aa_as,SRR4261569,enterobase
esc_ba4394aa_as,ERR191678,enterobase
esc_fa7185aa_as,SRR1180768,enterobase
esc_fa7185aa_as,SRR1180942,enterobase
esc_fa7185aa_as,SRR1187740,enterobase
esc_fa7185aa_as,SRR1187803,enterobase
esc_ja4667aa_as,SRR4787825,enterobase
esc_ba8435aa_as,SRR633828,enterobase
esc_ba8435aa_as,SRR633948,enterobase
esc_ba8435aa_as,SRR647245,enterobase
esc_ba8435aa_as,SRR647256,enterobase
esc_sa5792aa_as,SRR7285497,enterobase
esc_ba0009aa_as,SRR1981024,enterobase
esc_ba7653aa_as,SRR639955,enterobase
esc_ba7653aa_as,SRR639967,enterobase
esc_ba7653aa_as,SRR641828,enterobase
esc_ba7653aa_as,SRR641913,enterobase
esc_sa6140aa_as,SRR7291037,enterobase
esc_ba6506aa_as,SRR785076,enterobase
esc_ba6506aa_as,SRR785077,enterobase
esc_ba6506aa_as,SRR800455,enterobase
esc_ba6506aa_as,SRR800600,enterobase
esc_ga6948aa_as,SRR3466379,enterobase
esc_ra3590aa_as,SRR6490579,enterobase
esc_ba8973aa_as,ERR191693,enterobase
esc_ga5817aa_as,SRR3394784,enterobase
esc_sa6957aa_as,SRR7401711,enterobase
esc_sa4345aa_as,SRR7251436,enterobase
esc_sa3191aa_as,SRR7221233,enterobase
esc_ga9325aa_as,SRR3578936,enterobase
esc_na3117aa_as,SRR5494792,enterobase
esc_pa7942aa_as,SRR6079420,enterobase
esc_ia1188aa_as,SRR4180815,enterobase
esc_sa6924aa_as,SRR7401637,enterobase
esc_sa4006aa_as,SRR7244223,enterobase
esc_ra4300aa_as,SRR6667882,enterobase
esc_ja7805aa_as,SRR5017547,enterobase
esc_ja3900aa_as,SRR4897346,enterobase
esc_ia1131aa_as,SRR4176975,enterobase
esc_sa4754aa_as,SRR7265964,enterobase
esc_pa4925aa_as,SRR6051816,enterobase
esc_ja7562aa_as,SRR5005283,enterobase
esc_ha7404aa_as,SRR3951466,enterobase
esc_ja4598aa_as,SRR4787431,enterobase
esc_sa7785aa_as,SRR7456545,enterobase
esc_aa9695aa_as,SRR1981207,enterobase
esc_ja4739aa_as,SRR4788120,enterobase
esc_ja4677aa_as,SRR4787842,enterobase
esc_ja3942aa_as,SRR4897457,enterobase
esc_pa5384aa_as,SRR6052752,enterobase
esc_ka3850aa_as,SRR5024166,enterobase
esc_ja4558aa_as,SRR4787358,enterobase
esc_la5465aa_as,SRR5318413,enterobase
esc_ga9003aa_as,SRR3581446,enterobase
esc_ra7258aa_as,SRR6820993,enterobase
esc_sa7084aa_as,SRR7407971,enterobase
esc_la5748aa_as,SRR5330860,enterobase
esc_ja4441aa_as,SRR4787061,enterobase
esc_pa5141aa_as,SRR6051966,enterobase
esc_ja8351aa_as,SRR5018325,enterobase
esc_ja4833aa_as,SRR4788310,enterobase
esc_ja4861aa_as,SRR4788363,enterobase
esc_ca5510aa_as,ERR161287,enterobase
esc_ja3895aa_as,SRR4897337,enterobase
esc_pa5043aa_as,SRR6051852,enterobase
esc_pa4887aa_as,SRR6051741,enterobase
esc_sa2319aa_as,SRR7187823,enterobase
esc_ga8866aa_as,SRR3574304,enterobase
esc_ca5381aa_as,SRR576622,enterobase
esc_ca5381aa_as,SRR576637,enterobase
esc_ca5381aa_as,SRR576998,enterobase
esc_ca5381aa_as,SRR927398,enterobase
esc_ca5381aa_as,SRR927399,enterobase
esc_fa4844aa_as,SRR2174066,enterobase
esc_pa5162aa_as,SRR6051989,enterobase
esc_pa5590aa_as,SRR6053026,enterobase
esc_sa1379aa_as,SRR7163949,enterobase
esc_ja4604aa_as,SRR4787715,enterobase
esc_ia2260aa_as,SRR4263647,enterobase
esc_ja4481aa_as,SRR4787204,enterobase
esc_pa9654aa_as,SRR6153876,enterobase
esc_aa8963aa_as,SRR1981098,enterobase
esc_pa5180aa_as,SRR6052007,enterobase
esc_sa2006aa_as,SRR7184429,enterobase
esc_ma8890aa_as,SRR5470264,enterobase
esc_la5466aa_as,SRR5318414,enterobase
esc_pa0777aa_as,SRR5909601,enterobase
esc_ca5185aa_as,SRR639963,enterobase
esc_ca5185aa_as,SRR640086,enterobase
esc_ca5185aa_as,SRR641816,enterobase
esc_ca5185aa_as,SRR641930,enterobase
esc_sa1830aa_as,SRR7179832,enterobase
esc_ga9249aa_as,SRR3578790,enterobase
esc_la5025aa_as,SRR5297749,enterobase
esc_sa2343aa_as,SRR7187888,enterobase
esc_ja9031aa_as,SRR5023806,enterobase
esc_pa5296aa_as,SRR6052128,enterobase
esc_sa6097aa_as,SRR7290967,enterobase
esc_pa5160aa_as,SRR6051986,enterobase
esc_ja9062aa_as,SRR5023947,enterobase
esc_ka3933aa_as,SRR5018296,enterobase
esc_ga5558aa_as,SRR3371797,enterobase
esc_ca1866aa_as,SRR786312,enterobase
esc_ca1866aa_as,SRR786313,enterobase
esc_ca1866aa_as,SRR958736,enterobase
esc_ca1866aa_as,SRR958737,enterobase
esc_sa5929aa_as,SRR7286660,enterobase
esc_ja4377aa_as,SRR4786321,enterobase
esc_qa3913aa_as,SRR6237783,enterobase
esc_ka4233aa_as,SRR5023736,enterobase
esc_ba4768aa_as,SRR1981031,enterobase
esc_ga8935aa_as,SRR3581363,enterobase
esc_ca3824aa_as,SRR1981215,enterobase
esc_ra3711aa_as,SRR6505238,enterobase
esc_ha8433aa_as,SRR3987929,enterobase
esc_ma8213aa_as,SRR5469646,enterobase
esc_ja8525aa_as,SRR5023724,enterobase
esc_ga6515aa_as,SRR3405563,enterobase
esc_ka3957aa_as,SRR5017482,enterobase
esc_pa5586aa_as,SRR6053022,enterobase
esc_aa9040aa_as,SRR1981205,enterobase
esc_ja4430aa_as,SRR4786954,enterobase
esc_ja3907aa_as,SRR4897359,enterobase
esc_ra3585aa_as,SRR6490574,enterobase
esc_sa7815aa_as,SRR7457844,enterobase
esc_ia1157aa_as,SRR4178753,enterobase
esc_ia3127aa_as,SRR4299829,enterobase
esc_ma8854aa_as,SRR5470226,enterobase
esc_ha2666aa_as,SRR3742242,enterobase
esc_ia2247aa_as,SRR4262794,enterobase
esc_sa3245aa_as,SRR7223048,enterobase
esc_ba6946aa_as,SRR1981053,enterobase
esc_sa6132aa_as,SRR7291026,enterobase
esc_ga8896aa_as,SRR3574334,enterobase
esc_ra4410aa_as,SRR6671802,enterobase
esc_sa6081aa_as,SRR7290898,enterobase
esc_ha3999aa_as,SRR2178097,enterobase
esc_aa9530aa_as,SRR1981017,enterobase
esc_ka3936aa_as,SRR5018278,enterobase
esc_ja8720aa_as,SRR5023777,enterobase
esc_ja4664aa_as,SRR4787821,enterobase
esc_ja8305aa_as,SRR5018331,enterobase
esc_sa6579aa_as,SRR7358111,enterobase
esc_sa2930aa_as,SRR7215960,enterobase
esc_ga9306aa_as,SRR3578919,enterobase
esc_ra2556aa_as,SRR6425142,enterobase
esc_sa6087aa_as,SRR7290921,enterobase
esc_ca5128aa_as,SRR785812,enterobase
esc_ca5128aa_as,SRR785813,enterobase
esc_ca5128aa_as,SRR958542,enterobase
esc_ca5128aa_as,SRR958543,enterobase
esc_ra1238aa_as,SRR6344643,enterobase
esc_ga8928aa_as,SRR3581355,enterobase
esc_sa3150aa_as,SRR7221029,enterobase
esc_sa7060aa_as,SRR7407927,enterobase
esc_ja5057aa_as,SRR5005554,enterobase
esc_ma8216aa_as,SRR5469651,enterobase
esc_ra1237aa_as,SRR6344642,enterobase
esc_ra3355aa_as,SRR6473355,enterobase
esc_ca0871aa_as,SRR633707,enterobase
esc_ca0871aa_as,SRR633762,enterobase
esc_ca0871aa_as,SRR647282,enterobase
esc_ca0871aa_as,SRR647317,enterobase
esc_ja4723aa_as,SRR4788083,enterobase
esc_sa2900aa_as,SRR7215528,enterobase
esc_pa5428aa_as,SRR6052800,enterobase
esc_ia2250aa_as,SRR4262990,enterobase
esc_ia6411aa_as,SRR4340479,enterobase
esc_ra2319aa_as,SRR6396341,enterobase
esc_pa4919aa_as,SRR6051810,enterobase
esc_ca4207aa_as,SRR639941,enterobase
esc_ca4207aa_as,SRR640049,enterobase
esc_ca4207aa_as,SRR641853,enterobase
esc_ca4207aa_as,SRR641894,enterobase
esc_ga9198aa_as,SRR3578634,enterobase
esc_ca1999aa_as,SRR2127361,enterobase
esc_ca1999aa_as,SRR2131467,enterobase
esc_ca1999aa_as,SRR2131477,enterobase
esc_ca1999aa_as,SRR2135452,enterobase
esc_qa3738aa_as,SRR6236812,enterobase
esc_sa3765aa_as,SRR7236572,enterobase
esc_aa9918aa_as,SRR1981060,enterobase
esc_ja8131aa_as,SRR5018177,enterobase
esc_ga9120aa_as,SRR3578564,enterobase
esc_ga9374aa_as,SRR3578952,enterobase
esc_ha8871aa_as,SRR3990970,enterobase
esc_la5743aa_as,SRR5330855,enterobase
esc_ga3686aa_as,SRR3241851,enterobase
esc_sa6792aa_as,SRR7367419,enterobase
esc_sa5776aa_as,SRR7285566,enterobase
esc_ia1147aa_as,SRR4177387,enterobase
esc_ha2678aa_as,SRR3742256,enterobase
esc_ja9375aa_as,SRR5024288,enterobase
esc_sa6149aa_as,SRR7291449,enterobase
esc_ka5266aa_as,SRR5023933,enterobase
esc_ja5301aa_as,SRR5006387,enterobase
esc_sa2384aa_as,SRR7191710,enterobase
esc_ga9144aa_as,SRR3578577,enterobase
esc_ja3897aa_as,SRR4897341,enterobase
esc_ba8914aa_as,SRR1981122,enterobase
esc_ja4581aa_as,SRR4787399,enterobase
esc_sa7059aa_as,SRR7407926,enterobase
esc_ha2704aa_as,SRR3742289,enterobase
esc_ka3901aa_as,SRR5023683,enterobase
esc_ba5358aa_as,SRR1570146,enterobase
esc_sa6914aa_as,SRR7401625,enterobase
esc_sa5318aa_as,SRR7283717,enterobase
esc_ia0831aa_as,SRR4113444,enterobase
esc_ja8000aa_as,SRR5023696,enterobase
esc_sa3767aa_as,SRR7236574,enterobase
esc_sa4027aa_as,SRR7244293,enterobase
esc_sa6775aa_as,SRR7367393,enterobase
esc_ga8917aa_as,SRR3581340,enterobase
esc_ba8705aa_as,SRR1981130,enterobase
esc_ca3457aa_as,SRR1785916,enterobase
esc_ca3457aa_as,SRR1785955,enterobase
esc_ca3457aa_as,SRR1795923,enterobase
esc_ca3457aa_as,SRR1795983,enterobase
esc_sa7058aa_as,SRR7407925,enterobase
esc_ja4767aa_as,SRR4788176,enterobase
esc_la5639aa_as,SRR5329204,enterobase
esc_la3161aa_as,SRR5264171,enterobase
esc_ca3063aa_as,ERR191682,enterobase
esc_pa5164aa_as,SRR6051991,enterobase
esc_ia1635aa_as,SRR4192440,enterobase
esc_ba8620aa_as,SRR1289649,enterobase
esc_sa4748aa_as,SRR7265951,enterobase
esc_ka4261aa_as,SRR5017542,enterobase
esc_ga9244aa_as,SRR3578785,enterobase
esc_ja8721aa_as,SRR5023778,enterobase
esc_ba5509aa_as,SRR1981197,enterobase
esc_sa6813aa_as,SRR7367476,enterobase
esc_fa8183aa_as,SRR3000438,enterobase
esc_ja3961aa_as,SRR4897497,enterobase
esc_ha8266aa_as,SRR3987641,enterobase
esc_pa2769aa_as,SRR6001152,enterobase
esc_sa1441aa_as,SRR7167537,enterobase
esc_pa5334aa_as,SRR6052698,enterobase
esc_ia1502aa_as,SRR4192078,enterobase
esc_ca4989aa_as,SRR785437,enterobase
esc_ca4989aa_as,SRR785438,enterobase
esc_ca4989aa_as,SRR800423,enterobase
esc_ca4989aa_as,SRR800572,enterobase
esc_ha8239aa_as,SRR3987614,enterobase
esc_pa5468aa_as,SRR6052842,enterobase
esc_pa5368aa_as,SRR6052734,enterobase
esc_ia1666aa_as,SRR4195743,enterobase
esc_sa5910aa_as,SRR7286602,enterobase
esc_ia1287aa_as,SRR4181582,enterobase
esc_pa4902aa_as,SRR6051756,enterobase
esc_ca5670aa_as,SRR785679,enterobase
esc_ca5670aa_as,SRR785680,enterobase
esc_ca5670aa_as,SRR958496,enterobase
esc_ca5670aa_as,SRR958497,enterobase
esc_ka6844aa_as,SRR5035015,enterobase
esc_ja4469aa_as,SRR4787169,enterobase
esc_ca3625aa_as,SRR1785951,enterobase
esc_ca3625aa_as,SRR1785953,enterobase
esc_ca3625aa_as,SRR1795840,enterobase
esc_ca3625aa_as,SRR1799996,enterobase
esc_ha0376aa_as,SRR1981544,enterobase
esc_la6590aa_as,SRR5366647,enterobase
esc_sa1998aa_as,SRR7184384,enterobase
esc_ga8916aa_as,SRR3581339,enterobase
esc_sa1569aa_as,SRR7172431,enterobase
esc_ca3425aa_as,SRR1981535,enterobase
esc_sa6351aa_as,SRR7283798,enterobase
esc_ra4303aa_as,SRR6667886,enterobase
esc_la4421aa_as,SRR5280685,enterobase
esc_ba4779aa_as,SRR1981192,enterobase
esc_ba4695aa_as,SRR1981315,enterobase
esc_ga0143aa_as,SRR3113873,enterobase
esc_ra0307aa_as,SRR6325069,enterobase
esc_ra3548aa_as,SRR6486936,enterobase
esc_pa5144aa_as,SRR6051970,enterobase
esc_sa3790aa_as,SRR7236632,enterobase
esc_ba0620aa_as,SRR2035402,enterobase
esc_ca4605aa_as,SRR1981183,enterobase
esc_pa4939aa_as,SRR6051840,enterobase
esc_ja4749aa_as,SRR4788134,enterobase
esc_ca5466aa_as,SRR785078,enterobase
esc_ca5466aa_as,SRR785079,enterobase
esc_ca5466aa_as,SRR800431,enterobase
esc_ca5466aa_as,SRR800499,enterobase
esc_ga6507aa_as,SRR3405554,enterobase
esc_ja9330aa_as,SRR5023960,enterobase
esc_ra1603aa_as,SRR6367807,enterobase
esc_ga8874aa_as,SRR3574312,enterobase
esc_pa1989aa_as,SRR5961312,enterobase
esc_ga8846aa_as,SRR3574284,enterobase
esc_ka4232aa_as,SRR5023769,enterobase
esc_ba1675aa_as,SRR1981410,enterobase
esc_sa4451aa_as,SRR7256970,enterobase
esc_ga9233aa_as,SRR3578672,enterobase
esc_ha8229aa_as,SRR3987579,enterobase
esc_sa1363aa_as,SRR7163930,enterobase
esc_pa4951aa_as,SRR6051855,enterobase
esc_la1453aa_as,SRR5185391,enterobase
esc_ha8031aa_as,SRR3975538,enterobase
esc_ja4435aa_as,SRR4787054,enterobase
esc_ga9299aa_as,SRR3578912,enterobase
esc_ca1145aa_as,SRR786217,enterobase
esc_ca1145aa_as,SRR786218,enterobase
esc_ca1145aa_as,SRR958641,enterobase
esc_ca1145aa_as,SRR958642,enterobase
esc_sa3793aa_as,SRR7236637,enterobase
esc_ga9272aa_as,SRR3578906,enterobase
esc_ga8886aa_as,SRR3574324,enterobase
esc_ia1255aa_as,SRR4181515,enterobase
esc_ca4893aa_as,SRR784597,enterobase
esc_ca4893aa_as,SRR784598,enterobase
esc_ca4893aa_as,SRR800421,enterobase
esc_ca4893aa_as,SRR800451,enterobase
esc_ja4732aa_as,SRR4788099,enterobase
esc_ba8491aa_as,SRR1570112,enterobase
esc_ma8841aa_as,SRR5470165,enterobase
esc_ha0889aa_as,SRR3572953,enterobase
esc_ja4649aa_as,SRR4787795,enterobase
esc_na8719aa_as,SRR5588774,enterobase
esc_ja4458aa_as,SRR4787147,enterobase
esc_ga6605aa_as,SRR3410782,enterobase
esc_ba7650aa_as,SRR1982009,enterobase
esc_oa0095aa_as,SRR5666494,enterobase
esc_sa5047aa_as,SRR7276882,enterobase
esc_ca4195aa_as,SRR640037,enterobase
esc_ca4195aa_as,SRR640105,enterobase
esc_ca4195aa_as,SRR641897,enterobase
esc_ca4195aa_as,SRR642252,enterobase
esc_ga8967aa_as,SRR3581397,enterobase
esc_pa5060aa_as,SRR6051879,enterobase
esc_ha8858aa_as,SRR3990957,enterobase
esc_ka6770aa_as,SRR5017472,enterobase
esc_sa2737aa_as,SRR7204218,enterobase
esc_ia1164aa_as,SRR4179257,enterobase
esc_ca4306aa_as,SRR784313,enterobase
esc_ca4306aa_as,SRR784314,enterobase
esc_ca4306aa_as,SRR800463,enterobase
esc_ca4306aa_as,SRR800553,enterobase
esc_ca4920aa_as,SRR786357,enterobase
esc_ca4920aa_as,SRR786358,enterobase
esc_ca4920aa_as,SRR958813,enterobase
esc_ca4920aa_as,SRR958814,enterobase
esc_fa7689aa_as,SRR2982209,enterobase
esc_ha0406aa_as,SRR786320,enterobase
esc_ha0406aa_as,SRR800521,enterobase
esc_ha0406aa_as,SRR958751,enterobase
esc_ha0406aa_as,SRR958752,enterobase
esc_ja4676aa_as,SRR4787840,enterobase
esc_sa2412aa_as,SRR7191544,enterobase
esc_ba0383aa_as,SRR1981221,enterobase
esc_ha0490aa_as,SRR1785868,enterobase
esc_ha0490aa_as,SRR1785943,enterobase
esc_ha0490aa_as,SRR1795858,enterobase
esc_ha0490aa_as,SRR1800018,enterobase
esc_ba5259aa_as,SRR1981669,enterobase
esc_sa5360aa_as,SRR7283750,enterobase
esc_sa2446aa_as,SRR7191519,enterobase
esc_ia1247aa_as,SRR4181504,enterobase
esc_ba7344aa_as,ERR191695,enterobase
esc_ca0405aa_as,ERR191634,enterobase
esc_ba5951aa_as,ERR161303,enterobase
esc_pa5192aa_as,SRR6052019,enterobase
esc_ca4951aa_as,SRR1981665,enterobase
esc_sa1355aa_as,SRR7163917,enterobase
esc_ra3559aa_as,SRR6487137,enterobase
esc_ha3954aa_as,SRR2177983,enterobase
esc_ka5432aa_as,SRR5034997,enterobase
esc_sa6581aa_as,SRR7358116,enterobase
esc_sa5366aa_as,SRR7283824,enterobase
esc_qa3618aa_as,SRR6222063,enterobase
esc_pa1830aa_as,SRR5951701,enterobase
esc_oa0090aa_as,SRR5666557,enterobase
esc_ca6336aa_as,SRR1981663,enterobase
esc_sa6560aa_as,SRR7358037,enterobase
esc_ja4531aa_as,SRR4787306,enterobase
esc_fa7146aa_as,SRR1180767,enterobase
esc_fa7146aa_as,SRR1181028,enterobase
esc_fa7146aa_as,SRR1187737,enterobase
esc_fa7146aa_as,SRR1187842,enterobase
esc_sa2753aa_as,SRR7204337,enterobase
esc_ja4547aa_as,SRR4787340,enterobase
esc_ha6172aa_as,SRR3883025,enterobase
esc_ja4443aa_as,SRR4787063,enterobase
esc_ra3361aa_as,SRR6473157,enterobase
esc_ja8007aa_as,SRR5017402,enterobase
esc_ja7599aa_as,SRR5005430,enterobase
esc_ca4117aa_as,SRR2127467,enterobase
esc_ca4117aa_as,SRR2127795,enterobase
esc_ca4117aa_as,SRR2131773,enterobase
esc_ca4117aa_as,SRR2135196,enterobase
esc_ja3753aa_as,SRR4897058,enterobase
esc_ka3851aa_as,SRR5024164,enterobase
esc_pa5206aa_as,SRR6052033,enterobase
esc_ia1183aa_as,SRR4180641,enterobase
esc_ra0289aa_as,SRR6324143,enterobase
esc_ga8835aa_as,SRR3574273,enterobase
esc_pa5241aa_as,SRR6052071,enterobase
esc_sa2301aa_as,SRR7187768,enterobase
esc_ga1618aa_as,SRR3178058,enterobase
esc_ba6003aa_as,SRR770113,enterobase
esc_ba6003aa_as,SRR784219,enterobase
esc_ba6003aa_as,SRR958283,enterobase
esc_ba6003aa_as,SRR958284,enterobase
esc_ga3640aa_as,SRR3240965,enterobase
esc_ca4968aa_as,SRR1981073,enterobase
esc_sa2780aa_as,SRR7208466,enterobase
esc_ca0141aa_as,SRR1981708,enterobase
esc_sa4462aa_as,SRR7256991,enterobase
esc_ha8506aa_as,SRR3988010,enterobase
esc_ja3810aa_as,SRR4897173,enterobase
esc_ra3556aa_as,SRR6487133,enterobase
esc_sa2408aa_as,SRR7191555,enterobase
esc_aa8009aa_as,SRR1982001,enterobase
esc_pa0790aa_as,SRR5909615,enterobase
esc_ga8887aa_as,SRR3574325,enterobase
esc_ja4510aa_as,SRR4787274,enterobase
esc_sa3548aa_as,SRR7230308,enterobase
esc_sa5347aa_as,SRR7283770,enterobase
esc_pa5208aa_as,SRR6052035,enterobase
esc_sa4156aa_as,SRR7249695,enterobase
esc_ka5296aa_as,SRR5017470,enterobase
esc_ra0301aa_as,SRR6324267,enterobase
esc_sa5688aa_as,SRR7285423,enterobase
esc_sa1357aa_as,SRR7163919,enterobase
esc_ja7653aa_as,SRR5005529,enterobase
esc_ba5891aa_as,ERR161247,enterobase
esc_ra0284aa_as,SRR6324138,enterobase
esc_ja3757aa_as,SRR4897070,enterobase
esc_ba7036aa_as,SRR783922,enterobase
esc_ba7036aa_as,SRR783923,enterobase
esc_ba7036aa_as,SRR800527,enterobase
esc_ba7036aa_as,SRR800547,enterobase
esc_ga8813aa_as,SRR3574251,enterobase
esc_sa1852aa_as,SRR7180031,enterobase
esc_ca4896aa_as,SRR1785718,enterobase
esc_ca4896aa_as,SRR1785753,enterobase
esc_ca4896aa_as,SRR1795901,enterobase
esc_ca4896aa_as,SRR1800043,enterobase
esc_sa5905aa_as,SRR7286589,enterobase
esc_ja7633aa_as,SRR5005439,enterobase
esc_sa4947aa_as,SRR7274961,enterobase
esc_ja5098aa_as,SRR5006141,enterobase
esc_sa4306aa_as,SRR7250984,enterobase
esc_ha7440aa_as,SRR3951508,enterobase
esc_ca0775aa_as,SRR1981693,enterobase
esc_ja3745aa_as,SRR4897017,enterobase
esc_pa4912aa_as,SRR6051785,enterobase
esc_fa7690aa_as,SRR2982208,enterobase
