"Sample name","Sample accession","Lane name","Lane accession"
2796STDY5611082,ERS356911,11658_7#23,ERR434953
2796STDY5611097,ERS356926,11658_7#26,ERR434956
2796STDY5611248,ERS357074,11658_7#30,ERR434960
2796STDY5611286,ERS357103,11658_7#33,ERR434963
2796STDY5611595,ERS357398,11658_7#52,ERR434982
2796STDY5611642,ERS357445,11658_7#57,ERR434987
2796STDY5611734,ERS357535,11658_7#64,ERR434994
2796STDY5611852,ERS357652,11658_7#65,ERR434995
2796STDY5611862,ERS357662,11658_7#67,ERR434997
2796STDY5612032,ERS357824,11658_7#71,ERR435001
2796STDY5612209,ERS357992,11658_7#78,ERR435008
2796STDY5612300,ERS358082,11658_7#86,ERR435016
2796STDY5612322,ERS358104,11658_7#90,ERR435020
2796STDY5612333,ERS358115,11658_7#93,ERR435023
2796STDY5610965,ERS356795,11658_8#27,ERR435030
2796STDY5611262,ERS357088,11658_8#55,ERR435058
2796STDY5611638,ERS357441,11658_8#64,ERR435067
2796STDY5611704,ERS357505,11658_8#78,ERR435081
2796STDY5611727,ERS357528,11658_8#84,ERR435087
2796STDY5611729,ERS357530,11658_8#85,ERR435088
2796STDY5611770,ERS357571,11658_8#92,ERR435095
2796STDY5612128,ERS357912,11658_8#93,ERR435096
2796STDY5611131,ERS356958,11679_4#4,ERR435103
2796STDY5611171,ERS356998,11679_4#8,ERR435107
2796STDY5611779,ERS357579,11679_4#32,ERR435131
2796STDY5611801,ERS357601,11679_4#35,ERR435134
2796STDY5611846,ERS357646,11679_4#39,ERR435138
2796STDY5611848,ERS357648,11679_4#40,ERR435139
2796STDY5611872,ERS357669,11679_4#44,ERR435143
2796STDY5611943,ERS357740,11679_4#52,ERR435151
2796STDY5611957,ERS357754,11679_4#53,ERR435152
2796STDY5611959,ERS357756,11679_4#54,ERR435153
2796STDY5611978,ERS357772,11679_4#56,ERR435155
2796STDY5612035,ERS357827,11679_4#58,ERR435157
2796STDY5612048,ERS357838,11679_4#62,ERR435161
2796STDY5612103,ERS357887,11679_4#66,ERR435165
2796STDY5612415,ERS358196,11679_4#89,ERR435188
2796STDY5612423,ERS358204,11679_4#91,ERR435190
2796STDY5612425,ERS358206,11679_4#92,ERR435191
2796STDY5612465,ERS358245,11679_4#95,ERR435194
2796STDY5611117,ERS356945,11679_5#2,ERR435197
2796STDY5611324,ERS357140,11679_5#12,ERR435207
2796STDY5611799,ERS357599,11679_5#33,ERR435228
2796STDY5611923,ERS357720,11679_5#44,ERR435239
2796STDY5612069,ERS357853,11679_5#57,ERR435252
2796STDY5612305,ERS358087,11679_5#77,ERR435272
2796STDY5612358,ERS358139,11679_5#80,ERR435275
2796STDY5612447,ERS358227,11679_5#90,ERR435285
2796STDY5612461,ERS358241,11679_5#94,ERR435289
2796STDY5611176,ERS357003,11679_6#7,ERR435298
2796STDY5611549,ERS357358,11679_6#30,ERR435321
2796STDY5611826,ERS357626,11679_6#45,ERR435336
2796STDY5611873,ERS357670,11679_6#49,ERR435340
2796STDY5612002,ERS357795,11679_6#59,ERR435350
2796STDY5612450,ERS358230,11679_6#93,ERR435384
2796STDY5612460,ERS358240,11679_6#94,ERR435385
2796STDY5612477,ERS358257,11679_6#95,ERR435386
2796STDY5611158,ERS356985,11679_7#5,ERR435392
2796STDY5611183,ERS357010,11679_7#8,ERR435395
2796STDY5611318,ERS357134,11679_7#12,ERR435399
2796STDY5611542,ERS357351,11679_7#26,ERR435413
2796STDY5611946,ERS357743,11679_7#42,ERR435429
2796STDY5611950,ERS357747,11679_7#44,ERR435431
2796STDY5612068,ERS357852,11679_7#54,ERR435441
2796STDY5612100,ERS357884,11679_7#58,ERR435445
2796STDY5612216,ERS357999,11679_7#70,ERR435457
2796STDY5612409,ERS358190,11679_7#85,ERR435472
2796STDY5612413,ERS358194,11679_7#86,ERR435473
2796STDY5612414,ERS358195,11679_7#87,ERR435474
2796STDY5612466,ERS358246,11679_7#93,ERR435480
2796STDY5611125,ERS356952,11679_8#1,ERR435484
2796STDY5611182,ERS357009,11679_8#6,ERR435489
2796STDY5611326,ERS357142,11679_8#11,ERR435494
2796STDY5611880,ERS357677,11679_8#57,ERR435539
